candidate_id,kind,params,complexity,train_accuracy,train_macro_f1,train_balanced_accuracy,train_recall_range,val_accuracy,val_macro_f1,val_balanced_accuracy,val_recall_range,val_min_recall
2611,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": null, ""arr"": [9, 0, 15], ""nsr"": null}",2,0.6911764705882353,0.6855534105534105,0.6911764705882353,0.4117647058823529,0.875,0.8666666666666667,0.875,0.5,0.5
2612,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": null, ""arr"": [9, 0, 15], ""nsr"": null}",2,0.7058823529411765,0.7000905040378724,0.7058823529411764,0.4117647058823529,0.875,0.8666666666666667,0.875,0.5,0.5
2613,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": null, ""arr"": [9, 0, 15], ""nsr"": null}",2,0.7205882352941176,0.7145604395604395,0.7205882352941176,0.4117647058823529,0.875,0.8666666666666667,0.875,0.5,0.5
2614,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": null, ""arr"": [9, 0, 15], ""nsr"": null}",2,0.7058823529411765,0.7000905040378724,0.7058823529411764,0.4117647058823529,0.875,0.8666666666666667,0.875,0.5,0.5
2615,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": null, ""arr"": [9, 0, 15], ""nsr"": null}",2,0.7058823529411765,0.7000905040378724,0.7058823529411764,0.4117647058823529,0.84375,0.8352941176470589,0.84375,0.5,0.5
2616,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [14, 0, 0, 0], ""arr"": [9, 0, 15], ""nsr"": null}",2,0.7352941176470589,0.7317669172932331,0.7352941176470588,0.3529411764705882,0.84375,0.8352941176470589,0.84375,0.5,0.5
2617,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [14, 0, 0, 0], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7058823529411765,0.7019978106185003,0.7058823529411764,0.3529411764705882,0.875,0.8666666666666667,0.875,0.5,0.5
2618,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": [14, 0, 0, 0], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7205882352941176,0.7169240669240668,0.7205882352941176,0.3529411764705882,0.875,0.8666666666666667,0.875,0.5,0.5
2619,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": [14, 0, 0, 0], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7352941176470589,0.7317669172932331,0.7352941176470588,0.3529411764705882,0.875,0.8666666666666667,0.875,0.5,0.5
2620,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": [14, 0, 0, 0], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7205882352941176,0.7169240669240668,0.7205882352941176,0.3529411764705882,0.875,0.8666666666666667,0.875,0.5,0.5
2621,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": [14, 0, 0, 0], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7205882352941176,0.7169240669240668,0.7205882352941176,0.3529411764705882,0.84375,0.8352941176470589,0.84375,0.5,0.5
2622,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [14, 0, 5, 2], ""arr"": [9, 0, 15], ""nsr"": null}",2,0.75,0.7482947232947232,0.75,0.2941176470588235,0.84375,0.8352941176470589,0.84375,0.5,0.5
2623,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [14, 0, 5, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7205882352941176,0.7178571428571429,0.7205882352941176,0.2941176470588235,0.875,0.8666666666666667,0.875,0.5,0.5
2624,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": [14, 0, 5, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7352941176470589,0.733128078817734,0.7352941176470589,0.2941176470588235,0.875,0.8666666666666667,0.875,0.5,0.5
2625,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": [14, 0, 5, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.75,0.7482947232947232,0.75,0.2941176470588235,0.875,0.8666666666666667,0.875,0.5,0.5
2626,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": [14, 0, 5, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7352941176470589,0.733128078817734,0.7352941176470589,0.2941176470588235,0.875,0.8666666666666667,0.875,0.5,0.5
2627,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": [14, 0, 5, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7352941176470589,0.733128078817734,0.7352941176470589,0.2941176470588235,0.84375,0.8352941176470589,0.84375,0.5,0.5
2628,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [14, 0, 10, 5], ""arr"": [9, 0, 15], ""nsr"": null}",2,0.7647058823529411,0.7642583470169677,0.7647058823529411,0.23529411764705876,0.84375,0.8352941176470589,0.84375,0.5,0.5
2629,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [14, 0, 10, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7352941176470589,0.7332316797686816,0.7352941176470589,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2630,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": [14, 0, 10, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.75,0.7488095238095238,0.75,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2631,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": [14, 0, 10, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7647058823529411,0.7642583470169677,0.7647058823529411,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2632,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": [14, 0, 10, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.75,0.7488095238095238,0.75,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2633,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": [14, 0, 10, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.75,0.7488095238095238,0.75,0.23529411764705876,0.84375,0.8352941176470589,0.84375,0.5,0.5
2634,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [14, 0, 20, 2], ""arr"": [9, 0, 15], ""nsr"": null}",2,0.7647058823529411,0.7642583470169677,0.7647058823529411,0.23529411764705876,0.84375,0.8352941176470589,0.84375,0.5,0.5
2635,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [14, 0, 20, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7352941176470589,0.7332316797686816,0.7352941176470589,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2636,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": [14, 0, 20, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.75,0.7488095238095238,0.75,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2637,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": [14, 0, 20, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7647058823529411,0.7642583470169677,0.7647058823529411,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2638,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": [14, 0, 20, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.75,0.7488095238095238,0.75,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2639,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": [14, 0, 20, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.75,0.7488095238095238,0.75,0.23529411764705876,0.84375,0.8352941176470589,0.84375,0.5,0.5
2640,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [14, 0, 20, 5], ""arr"": [9, 0, 15], ""nsr"": null}",2,0.7794117647058824,0.7797619047619048,0.7794117647058824,0.17647058823529405,0.84375,0.8352941176470589,0.84375,0.5,0.5
2641,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [14, 0, 20, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.75,0.7482142857142857,0.75,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2642,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": [14, 0, 20, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7647058823529411,0.7640665943796874,0.7647058823529411,0.17647058823529405,0.875,0.8666666666666667,0.875,0.5,0.5
2643,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": [14, 0, 20, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7794117647058824,0.7797619047619048,0.7794117647058824,0.17647058823529405,0.875,0.8666666666666667,0.875,0.5,0.5
2644,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": [14, 0, 20, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7647058823529411,0.7640665943796874,0.7647058823529411,0.17647058823529405,0.875,0.8666666666666667,0.875,0.5,0.5
2645,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": [14, 0, 20, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7647058823529411,0.7640665943796874,0.7647058823529411,0.17647058823529405,0.84375,0.8352941176470589,0.84375,0.5,0.5
2646,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [14, 0, 30, 10], ""arr"": [9, 0, 15], ""nsr"": null}",2,0.7794117647058824,0.7797619047619048,0.7794117647058824,0.17647058823529405,0.8125,0.8041666666666667,0.8125,0.5,0.5
2647,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [14, 0, 30, 10], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.75,0.7482142857142857,0.75,0.23529411764705876,0.84375,0.8352941176470589,0.84375,0.5,0.5
2648,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": [14, 0, 30, 10], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7647058823529411,0.7640665943796874,0.7647058823529411,0.17647058823529405,0.84375,0.8352941176470589,0.84375,0.5,0.5
2649,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": [14, 0, 30, 10], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7794117647058824,0.7797619047619048,0.7794117647058824,0.17647058823529405,0.84375,0.8352941176470589,0.84375,0.5,0.5
2650,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": [14, 0, 30, 10], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7647058823529411,0.7640665943796874,0.7647058823529411,0.17647058823529405,0.84375,0.8352941176470589,0.84375,0.5,0.5
2651,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": [14, 0, 30, 10], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7647058823529411,0.7640665943796874,0.7647058823529411,0.17647058823529405,0.8125,0.8041666666666667,0.8125,0.5,0.5
2652,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [14, 0, 50, 0], ""arr"": [9, 0, 15], ""nsr"": null}",2,0.7647058823529411,0.7642583470169677,0.7647058823529411,0.23529411764705876,0.84375,0.8352941176470589,0.84375,0.5,0.5
2653,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [14, 0, 50, 0], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7352941176470589,0.7332316797686816,0.7352941176470589,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2654,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": [14, 0, 50, 0], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.75,0.7488095238095238,0.75,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2655,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": [14, 0, 50, 0], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7647058823529411,0.7642583470169677,0.7647058823529411,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2656,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": [14, 0, 50, 0], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.75,0.7488095238095238,0.75,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2657,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": [14, 0, 50, 0], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.75,0.7488095238095238,0.75,0.23529411764705876,0.84375,0.8352941176470589,0.84375,0.5,0.5
2658,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [14, 0, 50, 2], ""arr"": [9, 0, 15], ""nsr"": null}",2,0.8088235294117647,0.809767316017316,0.8088235294117647,0.11764705882352944,0.84375,0.8352941176470589,0.84375,0.5,0.5
2659,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [14, 0, 50, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7794117647058824,0.7773493268275051,0.7794117647058824,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2660,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": [14, 0, 50, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7941176470588235,0.7936688311688311,0.7941176470588235,0.17647058823529405,0.875,0.8666666666666667,0.875,0.5,0.5
2661,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": [14, 0, 50, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.8088235294117647,0.809767316017316,0.8088235294117647,0.11764705882352944,0.875,0.8666666666666667,0.875,0.5,0.5
2662,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": [14, 0, 50, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7941176470588235,0.7936688311688311,0.7941176470588235,0.17647058823529405,0.875,0.8666666666666667,0.875,0.5,0.5
2663,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": [14, 0, 50, 2], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7941176470588235,0.7936688311688311,0.7941176470588235,0.17647058823529405,0.84375,0.8352941176470589,0.84375,0.5,0.5
2664,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [14, 0, 50, 5], ""arr"": [9, 0, 15], ""nsr"": null}",2,0.8235294117647058,0.8244453463203463,0.8235294117647058,0.11764705882352944,0.84375,0.8352941176470589,0.84375,0.5,0.5
2665,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [14, 0, 50, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7941176470588235,0.7916666666666666,0.7941176470588235,0.23529411764705876,0.875,0.8666666666666667,0.875,0.5,0.5
2666,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": [14, 0, 50, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.8088235294117647,0.8081842414385109,0.8088235294117647,0.17647058823529405,0.875,0.8666666666666667,0.875,0.5,0.5
2667,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": [14, 0, 50, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.8235294117647058,0.8244453463203463,0.8235294117647058,0.11764705882352944,0.875,0.8666666666666667,0.875,0.5,0.5
2668,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": [14, 0, 50, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.8088235294117647,0.8081842414385109,0.8088235294117647,0.17647058823529405,0.875,0.8666666666666667,0.875,0.5,0.5
2669,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": [14, 0, 50, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.8088235294117647,0.8081842414385109,0.8088235294117647,0.17647058823529405,0.84375,0.8352941176470589,0.84375,0.5,0.5
2670,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [14, 0, 50, 10], ""arr"": [9, 0, 15], ""nsr"": null}",2,0.8382352941176471,0.8390191560495166,0.838235294117647,0.17647058823529416,0.8125,0.8041666666666667,0.8125,0.5,0.5
2671,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [14, 0, 50, 10], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.8088235294117647,0.8059250136836343,0.8088235294117647,0.2941176470588235,0.84375,0.8352941176470589,0.84375,0.5,0.5
2672,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": [14, 0, 50, 10], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.8235294117647058,0.8226190476190476,0.8235294117647058,0.23529411764705876,0.84375,0.8352941176470589,0.84375,0.5,0.5
2673,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": [14, 0, 50, 10], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.8382352941176471,0.8390191560495166,0.838235294117647,0.17647058823529416,0.84375,0.8352941176470589,0.84375,0.5,0.5
2674,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": [14, 0, 50, 10], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.8235294117647058,0.8226190476190476,0.8235294117647058,0.23529411764705876,0.84375,0.8352941176470589,0.84375,0.5,0.5
2675,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": [14, 0, 50, 10], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.8235294117647058,0.8226190476190476,0.8235294117647058,0.23529411764705876,0.8125,0.8041666666666667,0.8125,0.5,0.5
2676,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [14, 0, 150, 5], ""arr"": [9, 0, 15], ""nsr"": null}",2,0.8235294117647058,0.8244453463203463,0.8235294117647058,0.11764705882352944,0.8125,0.8041666666666667,0.8125,0.5,0.5
2677,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [14, 0, 150, 5], ""arr"": [9, 0, 15], ""nsr"": null}",3,0.7941176470588235,0.7916666666666666,0.7941176470588235,0.23529411764705876,0.84375,0.8352941176470589,0.84375,0.5,0.5
